Institution,Country,Latitude,Longitude
AALBORG UNIVERSITY,Denmark,57.015,9.985
AALTO UNIVERSITY,Finland,60.1848,24.8233
AARHUS UNIVERSITY,Denmark,56.1667,10.2
ABERYSTWYTH UNIVERSITY,United Kingdom,52.415089,-4.083116
ABO AKADEMI UNIVERSITY,Finland,60.452331524,22.273832238
ABU DHABI UNIVERSITY,United Arab Emirates,24.466667,54.366669
ADAM MICKIEWICZ UNIVERSITY,Poland,52.409538,16.931992
AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Poland,50.0587164318,19.920912983
AIN SHAMS UNIVERSITY,Egypt,30.075808,30.075808
AIN SHAMS UNIVERSITY ,Egypt,30.075808,30.075808
AIRLANGGA UNIVERSITY,Indonesia,-7.250445,112.768845
AJMAN UNIVERSITY,United Arab Emirates,25.412296,55.506576
AJOU UNIVERSITY,South Korea,37.282913,127.04607
AJOU UNIVERSITY ,South Korea,37.282913,127.04607
AL AKHAWAYN UNIVERSITY IFRANE,Morocco,31.70217,-6.3494
AL AZHAR UNIVERSITY,Egypt,30.04083317,31.25749897
AL AZHAR UNIVERSITY ,Egypt,30.04083317,31.25749897
AL-FARABI KAZAKH NATIONAL UNIVERSITY,Kazakhstan,43.238949,76.889709
AL-IMAM MOHAMED IBN SAUD ISLAMIC UNIVERSITY,Saudi Arabia,24.4859,46.4247
ALEXANDRIA UNIVERSITY,Egypt,30.0275,31.2103
ALEXANDRIA UNIVERSITY ,Egypt,30.0275,31.2103
ALEXANDRU IOAN CUZA UNIVERSITY,Romania,47.151726,27.587914
"ALIGARH MUSLIM UNIVERSITY (AMU), ALIGARH",India,27.900383,78.072281
ALPEN-ADRIA-UNIVERSITÄT KLAGENFURT,Austria,46.609830894,14.258998964
ALPEN-ADRIA-UNIVERSITÄT KLAGENFURT ,Austria,46.609830894,14.258998964
ALTAI STATE UNIVERSITY,Russia,53.35,83.783
AMERICAN UNIVERSITY,United States,38.9371,-77.0869
AMERICAN UNIVERSITY IN CAIRO,Egypt,30.0186,31.5002
AMERICAN UNIVERSITY IN DUBAI,United Arab Emirates,25.123,55.411164
AMERICAN UNIVERSITY OF BEIRUT (AUB),Lebanon,33.8933080934,35.4760347625
AMERICAN UNIVERSITY OF SHARJAH,United Arab Emirates,25.30583211,55.487664716
AMIRKABIR UNIVERSITY OF TECHNOLOGY,Iran,35.7026388561,51.4053983784
AMITY UNIVERSITY,India,28.3171,76.916
AMRITA UNIVERSITY,India,10.900663064,76.90166306
AMRITA VISHWA VIDYAPEETHAM,India,10.9007,76.9017
ANKARA ÜNIVERSITESI,Turkey,39.936699,32.830299
ANNA UNIVERSITY,India,13.01268,80.236362
AOYAMA GAKUIN UNIVERSITY,Japan,35.65666404,139.706330508
ARABIAN GULF UNIVERSITY,Bahrain,26.201,50.606998
