CurrentRank,LastRank,Institution,Country,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,Latitude,Longitude,anno,pca_1,pca_2,color
1,1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),United States,M,CO,VH,5,B,100.0,3,100.0,4,100.0,17,99.8,8,100.0,41.0,95.5,77.0,100.0,42.358984,-71.0935805,2019,6.994405500859755,0.029823137178782,red
2,2,STANFORD UNIVERSITY,United States,L,FC,VH,5,B,100.0,5,100.0,5,100.0,16,99.0,13,99.8,56.0,70.5,190.0,98.6,37.424892,-122.168986,2019,6.766085677266271,-0.363895206084561,red
3,3,HARVARD UNIVERSITY,United States,L,FC,VH,5,B,100.0,1,100.0,1,99.3,40,99.8,9,92.1,151.0,75.7,164.0,98.5,42.3737614375,-71.1181085,2019,6.7525224940744994,-0.3925900006567994,red
4,4,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),United States,S,CO,VH,5,B,98.7,21,81.2,72,100.0,4,100.0,5,96.8,115.0,90.3,103.0,97.2,34.138,-118.125,2019,6.623546605951785,-0.0609094536820287,red
5,6,UNIVERSITY OF OXFORD,United Kingdom,L,FC,VH,5,A,100.0,4,100.0,3,100.0,7,83.0,56,99.6,63.0,98.8,43.0,96.8,51.750847500000006,-1.2477805,2019,6.758906914752413,0.077840520556403,red
6,5,UNIVERSITY OF CAMBRIDGE,United Kingdom,L,FC,VH,5,A,100.0,2,100.0,2,100.0,11,77.2,71,99.4,71.0,97.9,53.0,95.6,52.186507,0.136473,2019,6.663683185475886,0.0605673437717541,red
7,10,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),Switzerland,L,CO,VH,5,A,98.2,23,96.2,27,82.4,131,98.7,15,100.0,18.0,98.6,49.0,95.3,46.520378,6.565148000000001,2019,6.693955715454623,0.2128318289490592,red
8,8,IMPERIAL COLLEGE LONDON,United Kingdom,L,FC,VH,5,A,98.7,19,99.9,7,99.9,23,67.8,112,100.0,44.0,100.0,13.0,93.3,51.4985565,-0.1769325,2019,6.508627764270253,0.1145366364946183,red
9,9,UNIVERSITY OF CHICAGO,United States,L,FC,VH,5,B,99.6,13,90.7,47,97.4,48,83.6,54,74.2,229.0,82.5,136.0,93.2,41.789889,-87.604687,2019,6.252783576279265,-0.5219104872014223,red
10,7,UCL (UNIVERSITY COLLEGE LONDON),United Kingdom,XL,FC,VH,5,A,99.3,14,99.2,16,99.2,41,66.2,121,98.7,82.0,100.0,16.0,92.9,43.008429,-81.27368,2019,6.46815181946598,0.0962127207780467,red
11,15,NATIONAL UNIVERSITY OF SINGAPORE (NUS),Singapore,XL,FC,VH,5,A,99.8,11,99.1,18,91.8,79,72.8,87,100.0,24.0,80.7,144.0,92.0,1.294541875,103.776866875,2019,6.327296323516848,-0.140404894074601,red
12,11,NANYANG TECHNOLOGICAL UNIVERSITY (NTU),Singapore,L,FC,VH,3,A,90.3,38,92.6,43,95.0,64,87.5,46,100.0,22.0,83.5,132.0,91.3,1.347227,103.681792,2019,6.045979378024181,1.240486045572586,red
13,13,PRINCETON UNIVERSITY,United States,M,CO,VH,5,B,99.9,10,96.7,25,70.3,197,100.0,4,70.1,248.0,69.2,196.0,90.9,40.3451335,-74.65832225,2019,6.129820721420259,-0.6289157068469223,red
14,14,CORNELL UNIVERSITY,United States,L,FC,VH,5,B,98.7,20,90.5,48,70.4,195,95.9,22,93.3,142.0,77.0,160.0,90.5,42.4485,-76.4786,2019,6.19717914689866,-0.1422409154807032,red
15,16,YALE UNIVERSITY,United States,L,FC,VH,5,B,99.9,9,99.7,11,100.0,5,60.2,156,86.3,186.0,61.2,236.0,89.6,41.3113795,-72.92584699999999,2019,5.965458284987079,-0.7025091076919323,red
16,18,COLUMBIA UNIVERSITY,United States,L,FC,VH,5,B,99.7,12,97.4,23,100.0,19,59.2,167,40.4,377.0,96.2,72.0,88.5,40.8045,-73.9572,2019,5.851665293574071,-0.834485522061772,red
17,25,TSINGHUA UNIVERSITY,China,XL,FC,VH,5,A,97.0,27,99.4,14,91.5,80,77.4,70,60.6,288.0,29.2,440.0,87.2,40.000979,116.326377,2019,5.57099016621033,-1.5070096442514578,red
18,23,UNIVERSITY OF EDINBURGH,United Kingdom,L,FC,VH,5,A,97.3,24,94.0,34,85.5,114,57.2,181,97.4,107.0,98.8,45.0,86.9,55.944954,-3.18805,2019,6.012067009656059,0.1741418372295824,red
19,19,UNIVERSITY OF PENNSYLVANIA,United States,L,FC,VH,5,B,95.4,32,92.6,42,100.0,15,59.7,164,72.1,239.0,65.2,219.0,86.5,39.9492625,-75.191259,2019,5.672399094400041,-0.8055918304742864,red
20,21,UNIVERSITY OF MICHIGAN,United States,XL,FC,VH,5,A,98.9,17,90.2,49,94.3,69,60.5,153,82.3,200.0,49.8,291.0,86.4,42.2771875,-83.73849799999999,2019,5.6079990233875305,-0.8807904140567023,red
21,17,JOHNS HOPKINS UNIVERSITY,United States,L,FC,VH,5,B,89.7,40,56.9,136,100.0,13,80.2,61,79.9,209.0,81.6,140.0,85.9,39.3289375,-76.6204945,2019,5.539678598015153,-0.3378358954797757,red
22,12,ÉCOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL),Switzerland,M,FO,VH,5,A,72.8,76,78.2,82,94.5,67,98.9,14,100.0,14.0,100.0,12.0,85.8,52.527452,13.401992,2019,5.998594229452015,0.3832570033124841,red
23,28,THE UNIVERSITY OF TOKYO,Japan,L,FC,VH,5,A,100.0,7,99.5,13,94.2,70,72.2,90,12.3,601.0,25.5,465.0,85.3,35.71104149999999,139.765039,2019,5.176109519059601,-2.3241714415148924,red
24,20,AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,L,FC,VH,4,A,97.1,26,82.6,66,47.9,319,87.8,44,100.0,39.0,99.5,33.0,84.4,-35.277988,149.120453,2019,5.769824360869966,1.1175109891020891,red
25,26,UNIVERSITY OF HONG KONG (HKU),Hong Kong,L,FC,VH,5,A,96.7,28,83.7,63,88.1,96,47.1,264,100.0,21.0,99.4,36.0,84.3,22.3046025,114.179821,2019,5.744039343391569,0.2276042130089122,red
26,21,DUKE UNIVERSITY,United States,L,FC,VH,5,B,88.2,46,74.7,87,99.3,37,88.2,41,14.3,601.0,55.0,260.0,83.9,36.001218125,-78.93810350000001,2019,5.125677187711927,-1.7405958248454665,red
27,27,"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)",United States,XL,FC,VH,5,A,100.0,6,99.8,9,28.9,512,99.9,7,99.5,67.0,46.1,308.0,83.2,37.870394,-122.259058,2019,5.705376717356934,-0.2875388507318009,red
28,31,UNIVERSITY OF TORONTO,Canada,XL,FC,VH,5,A,98.7,18,94.0,35,74.8,176,47.6,254,96.4,117.0,92.9,88.0,83.0,43.548175,-79.6626575,2019,5.699471783600741,0.1285640661707951,red
29,34,THE UNIVERSITY OF MANCHESTER,United Kingdom,XL,FC,VH,5,A,94.6,33,98.5,20,76.0,168,51.2,221,93.2,144.0,98.8,46.0,82.9,53.4644325,-2.2355155,2019,5.759681980827176,0.1918467350066224,red
30,38,PEKING UNIVERSITY,China,XL,FC,VH,5,A,99.0,16,99.8,10,64.0,229,69.4,103,68.2,251.0,53.8,268.0,82.6,39.990647,116.304231,2019,5.431378170469972,-0.8443212031735569,red
