Country,Unnamed: 0,Unnamed: 0,CurrentRank,CurrentRank,LastRank,LastRank,Age,Age,Academicscorerscore,Academicscorerscore,Academicrankrank,Academicrankrank,Employerscore,Employerscore,Employerrank,Employerrank,FacultyStudentscore,FacultyStudentscore,FacultyStudentrank,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyscore,CitationsPerFacultyrank,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyscore,InternationalFacultyrank,InternationalFacultyrank,InternationalStudentscore,InternationalStudentscore,InternationalStudentrank,InternationalStudentrank,OverallScore,OverallScore,Latitude,Latitude,Longitude,Longitude,anno,anno,pca_1,pca_1,pca_2,pca_2
,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean
Argentina,16,631.0,16,677.9375,16,544.4375,16,3.875,16,10.29375,16,76.75,16,16.31875,16,41.375,16,24.5875,16,40.5,16,0.48750000000000004,16,125.3125,15,6.54,15,99.2,16,17.8375,16,74.125,16,12.54375,16,-27.423147050781242,16,-54.87613469140624,16,2018,16,-1.1119863731461077,16,0.40016861521797176
Australia,37,407.81081081081084,37,431.0810810810811,37,406.4594594594595,37,3.6486486486486487,37,32.45945945945947,37,114.02702702702703,37,35.10270270270271,37,109.45945945945945,37,14.056756756756757,37,240.6216216216216,37,32.51081081081081,37,144.27027027027026,37,60.599999999999994,37,45.37837837837838,37,51.748648648648654,37,79.48648648648648,37,31.86216216216217,37,-24.043362128378384,37,134.13260870270273,37,2018,37,1.0533636847663934,37,1.062118995898207
Austria,8,452.75,8,466.5,8,513.625,7,4.571428571428571,8,18.0125,8,91.0,8,21.8,8,73.25,8,14.2,8,240.125,8,20.812499999999996,8,207.125,8,47.800000000000004,8,117.75,8,43.150000000000006,8,123.875,8,24.275000000000002,8,47.57155976800001,8,14.579467245499998,8,2018,8,0.2524322907709175,8,0.011602235509710346
Azerbaijan,2,762.0,2,875.0,2,701.0,2,3.5,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,40.396277,2,49.864546000000004,2,2018,2,-2.499086610651619,2,0.6851547264275234
Bahrain,2,669.0,2,710.0,2,585.5,2,3.0,2,0.0,2,0.0,2,0.0,2,0.0,2,34.85,2,84.0,2,1.3,2,200.5,2,49.75,2,29.0,2,50.0,2,4.0,2,14.6,2,25.653377,2,53.011084499999996,2,2018,2,-0.8024437030598761,2,1.9734009122497138
Bangladesh,1,746.0,1,750.0,1,701.0,1,4.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,23.73293296875,1,90.39507359375,1,2018,1,-2.302679847588505,1,0.124301847390131
Belarus,2,545.5,2,567.0,2,527.5,2,4.0,2,14.15,2,196.5,2,16.3,2,200.5,2,46.15,2,35.0,2,0.8,2,200.5,2,3.7,2,200.5,2,12.75,2,200.5,2,17.55,2,53.909031494999994,2,27.574298822,2,2018,2,-0.7298215333325337,2,0.2403384917386338
Belgium,8,232.25,8,233.125,8,229.5,7,4.714285714285714,8,44.2125,8,198.75,8,46.0625,8,212.0,8,40.4,8,234.75,8,46.025000000000006,8,198.5,8,58.925000000000004,8,200.875,8,48.325,8,230.625,8,45.05,8,51.623712312500004,8,11.29339425,8,2018,8,2.3838071974437316,8,-0.13397203692075077
Brazil,22,679.7272727272727,22,732.4545454545455,22,589.2272727272727,22,4.0,22,10.854545454545454,22,11.727272727272727,22,8.77727272727273,22,26.454545454545453,22,4.690909090909091,22,72.9090909090909,22,3.4863636363636363,22,72.9090909090909,22,1.3681818181818182,22,72.9090909090909,22,0.7681818181818183,22,72.9090909090909,22,7.777272727272728,22,-21.76837986363636,22,-45.9521903409091,22,2018,22,-1.716323663781331,22,0.07939823161661401
Brunei,1,349.0,1,349.0,1,1000.0,1,3.0,1,15.2,1,401.0,1,1.9,1,401.0,1,92.5,1,69.0,1,3.8,1,401.0,1,100.0,1,47.0,1,64.7,1,210.0,1,33.8,1,4.51234,1,114.017186,1,2018,1,0.6023985146886136,1,2.5374687094043624
Bulgaria,1,729.0,1,750.0,1,700.0,1,5.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,42.6494986,1,23.3571502,1,2018,1,-2.1872200225903216,1,-1.0035472368354157
Canada,26,358.96153846153845,26,369.7692307692308,26,352.03846153846155,26,4.461538461538462,26,31.092307692307692,26,124.65384615384616,26,34.43846153846154,26,119.34615384615384,26,20.44615384615384,26,254.42307692307693,26,38.81153846153846,26,163.8846153846154,26,59.21923076923077,26,127.34615384615384,26,46.1076923076923,26,165.1153846153846,26,34.980769230769226,26,45.92039953846153,26,-85.99443449038462,26,2018,26,1.3663330274623815,26,0.11807692171999626
Chile,11,653.7272727272727,11,704.3636363636364,11,575.6363636363636,11,4.0,11,15.91818181818182,11,11.636363636363637,11,16.336363636363636,11,11.545454545454545,11,5.036363636363636,11,109.36363636363636,11,2.581818181818182,11,109.36363636363636,11,3.0090909090909093,11,109.36363636363636,11,1.4545454545454546,11,109.36363636363636,11,11.927272727272726,11,-34.484472397727274,11,-71.26402336363637,11,2018,11,-1.4592315426362807,11,0.05944490028576514
China,39,443.43589743589746,39,468.6923076923077,39,477.97435897435895,39,4.3076923076923075,39,21.628205128205124,39,66.28205128205128,39,21.492307692307694,39,74.76923076923077,39,22.002564102564104,39,175.76923076923077,39,27.746153846153845,39,124.28205128205128,39,18.602564102564106,39,185.82051282051282,39,8.143589743589745,39,211.10256410256412,39,24.5025641025641,39,34.30931673097435,39,111.01132013200004,39,2018,39,-0.12506447957606284,39,-0.13930618846546491
Colombia,10,632.1,10,684.0,10,554.5,10,4.4,10,13.8,10,23.8,10,15.99,10,19.2,10,14.419999999999998,10,122.9,10,1.41,10,160.4,10,5.79,10,159.9,9,0.7444444444444444,9,133.66666666666666,10,13.84,10,7.165626225,10,-76.706396025,10,2018,10,-1.2550527271663112,10,-0.33312410077194554
Costa Rica,2,652.5,2,710.0,2,590.5,2,3.5,2,0.0,2,0.0,2,0.0,2,0.0,2,18.6,2,173.5,2,0.9,2,200.5,1,0.0,1,0.0,2,0.9,2,200.5,2,14.7,2,9.658318999999999,2,-83.87152375,2,2018,2,-1.6742064710020315,2,0.8162894401978977
Croatia,1,648.0,1,650.0,1,700.0,1,5.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,45.86503,1,15.801008,1,2018,1,-2.075747656857899,1,-1.0011300313899814
Cuba,1,625.0,1,650.0,1,701.0,1,5.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,23.136843,1,-82.381507,1,2018,1,-2.0770748700609114,1,-1.0010297188528046
Czech Republic,6,612.8333333333334,6,635.6666666666666,6,650.3333333333334,6,4.666666666666667,6,8.083333333333334,6,34.0,6,6.766666666666667,6,52.5,6,10.516666666666667,6,125.16666666666667,6,3.4333333333333336,6,133.66666666666666,6,3.7833333333333337,6,133.66666666666666,6,14.583333333333334,6,108.16666666666667,6,10.333333333333334,6,44.42226428271667,6,12.271232098550001,6,2018,6,-1.4288621653056552,6,-0.5332139991040163
Denmark,6,338.1666666666667,6,345.1666666666667,6,343.0,6,4.333333333333333,6,38.88333333333333,6,218.0,6,35.88333333333333,6,234.0,6,51.18333333333333,6,193.0,6,37.28333333333333,6,234.5,6,67.33333333333334,6,145.66666666666666,6,37.4,6,268.5,6,42.166666666666664,6,55.948339316666676,6,11.377986666666667,6,2018,6,1.8322981702756322,6,0.307852127975538
Ecuador,2,795.5,2,875.0,2,701.0,2,3.5,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,9.09866125,2,-72.26922475,2,2018,2,-2.499086610651619,2,0.6851547264275234
Egypt,5,626.4,5,687.0,5,613.6,5,4.4,5,6.2,5,70.6,5,9.86,5,47.2,5,10.059999999999999,5,150.4,5,1.56,5,160.4,5,18.62,5,108.2,5,2.5799999999999996,5,160.4,5,11.379999999999999,5,30.038068234,5,31.050789394000002,5,2018,5,-1.4521101909630414,5,-0.2127644368194761
Estonia,2,467.0,2,482.0,2,498.5,2,4.5,2,14.25,2,194.0,2,18.95,2,170.5,2,39.6,2,62.0,2,8.95,2,200.5,2,8.0,2,200.5,2,7.95,2,200.5,2,18.15,2,34.645864,2,57.932361,2,2018,2,-0.4804752383536328,2,-0.3488841610116922
Finland,10,377.9,10,388.2,10,349.7,9,4.0,10,19.3,10,143.4,10,16.71,10,161.9,10,48.89,10,121.3,10,24.32,10,238.5,10,31.22,10,232.4,10,10.93,10,275.2,10,28.139999999999997,10,56.284675652400004,10,31.861268723800002,10,2018,10,0.40986555778505884,10,0.3495903146719922
