Country,CurrentRank_count,CurrentRank_mean
Argentina,16,677.9375
Australia,37,431.0810810810811
Austria,8,466.5
Azerbaijan,2,875.0
Bahrain,2,710.0
Bangladesh,1,750.0
Belarus,2,567.0
Belgium,8,233.125
Brazil,22,732.4545454545455
Brunei,1,349.0
Bulgaria,1,750.0
Canada,26,369.7692307692308
Chile,11,704.3636363636364
China,39,468.6923076923077
Colombia,10,684.0
Costa Rica,2,710.0
Croatia,1,650.0
Cuba,1,650.0
Czech Republic,6,635.6666666666666
Denmark,6,345.1666666666667
Ecuador,2,875.0
Egypt,5,687.0
Estonia,2,482.0
Finland,10,388.2
France,44,602.2954545454545
Germany,47,404.63829787234044
Ghana,1,1000.0
Greece,6,685.0
Hong Kong,7,163.57142857142858
Hungary,6,758.3333333333334
India,21,639.8095238095239
Indonesia,9,729.7777777777778
Iran,5,656.0
Iraq,2,600.0
Ireland,8,396.625
Israel,7,453.7142857142857
Italy,31,605.9677419354839
Japan,43,574.1860465116279
Jordan,2,625.0
Kazakhstan,8,555.25
Kenya,1,1000.0
Kuwait,1,700.0
Latvia,2,725.0
Lebanon,3,461.6666666666667
Lithuania,4,690.0
Macau,1,550.0
Malaysia,9,448.8888888888889
Mexico,14,772.9285714285714
Morocco,1,1000.0
Netherlands,13,152.0
New Zealand,8,255.375
Norway,5,386.4
Oman,1,460.0
Pakistan,6,815.0
Palestinian Territory,1,1000.0
Peru,3,813.3333333333334
Philippines,4,679.25
Poland,9,837.7777777777778
Portugal,7,475.2857142857143
Puerto Rico,1,1000.0
Qatar,1,349.0
Romania,4,937.5
Russia,24,532.4166666666666
Saudi Arabia,8,542.625
Serbia,1,1000.0
Singapore,3,158.66666666666666
Slovakia,1,750.0
Slovenia,2,850.0
South Africa,9,624.0
South Korea,30,500.93333333333334
Spain,23,549.3913043478261
Sri Lanka,1,800.0
Sweden,10,352.4
Switzerland,9,175.22222222222223
Taiwan,16,447.8125
Thailand,8,703.625
Turkey,11,706.3636363636364
Uganda,1,1000.0
Ukraine,6,688.3333333333334
United Arab Emirates,6,578.3333333333334
United Kingdom,78,409.8076923076923
United States,159,450.15723270440253
Uruguay,2,650.0
Venezuela,5,840.0
