Institution,Country,Latitude,Longitude,CurrentRank,LastRank,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,anno,pca_1,pca_2,color
AALBORG UNIVERSITY,Denmark,57.015,9.985,374,356,L,FC,VH,3.0,A,26.1,401,48.6,232,23.3,401,27.3,401,72.2,208.0,47.3,303.0,31.5,2016,1.032115568930975,1.843997622770407,blue
AALTO UNIVERSITY,Finland,60.1848,24.8233,133,139,L,FO,VH,5.0,A,45.8,204,55.9,182,79.6,122,57.9,173,81.6,182.0,30.0,401.0,57.1,2016,3.319081208254737,-0.4106412164742667,red
AARHUS UNIVERSITY,Denmark,56.1667,10.2,117,107,L,FC,VH,4.0,A,66.3,125,52.1,209,35.0,373,75.8,91,68.0,226.0,44.3,319.0,59.5,2016,3.307374948782119,0.5259430605711308,red
ABERYSTWYTH UNIVERSITY,United Kingdom,52.415089,-4.083116,500,550,M,CO,VH,5.0,A,0.0,0,0.0,0,23.2,401,33.3,369,68.8,220.0,68.9,191.0,25.5,2016,0.1438788460338854,0.066620060330955,blue
ABO AKADEMI UNIVERSITY,Finland,60.452331524,22.273832238,550,450,M,CO,VH,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-1.9990194643309045,0.0339318831227214,blue
ABU DHABI UNIVERSITY,United Arab Emirates,24.466667,54.366669,701,701,S,FO,HI,2.0,B,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.8328170577375733,2.235396194712993,blue
AIN SHAMS UNIVERSITY ,Egypt,30.075808,30.075808,701,701,XL,FC,HI,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.5906050965993344,0.0751428243862046,blue
AIRLANGGA UNIVERSITY,Indonesia,-7.250445,112.768845,701,701,L,FC,LO,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.5906050965993344,0.0751428243862046,blue
AJOU UNIVERSITY ,South Korea,37.282913,127.04607,650,700,M,FC,VH,3.0,B,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.6301610285034625,1.1548367304339644,blue
AL AZHAR UNIVERSITY ,Egypt,30.04083317,31.25749897,701,701,XL,CO,HI,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.469499116030215,-1.0049838607771897,blue
AL-FARABI KAZAKH NATIONAL UNIVERSITY,Kazakhstan,43.238949,76.889709,236,275,L,CO,MD,4.0,A,42.1,234,36.5,340,96.9,48,1.1,401,30.3,397.0,17.4,401.0,42.5,2016,1.424569186998146,0.2584745181837624,blue
AL-IMAM MOHAMED IBN SAUD ISLAMIC UNIVERSITY,Saudi Arabia,24.4859,46.4247,700,600,XL,CO,MD,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.4464615965038763,0.058878424325144,blue
ALEXANDRIA UNIVERSITY ,Egypt,30.0275,31.2103,701,701,XL,FC,HI,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.5906050965993344,0.0751428243862046,blue
ALEXANDRU IOAN CUZA UNIVERSITY,Romania,47.151726,27.587914,701,701,L,FO,VH,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.469499116030215,-1.0049838607771897,blue
ALPEN-ADRIA-UNIVERSITÄT KLAGENFURT ,Austria,46.609830894,14.258998964,701,701,M,FO,HI,3.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.711711077168454,1.1552695095495993,blue
AMERICAN UNIVERSITY,United States,38.9371,-77.0869,384,373,L,CO,HI,5.0,B,35.4,287,55.7,183,30.8,401,15.2,401,8.6,401.0,35.2,376.0,31.1,2016,0.7145402133979875,-0.9658022581476392,blue
AMERICAN UNIVERSITY IN CAIRO,Egypt,30.0186,31.5002,365,345,M,CO,HI,4.0,B,31.6,332,61.4,155,35.5,363,4.8,401,96.9,99.0,7.3,401.0,32.2,2016,1.100259368533924,0.634971068333372,blue
AMERICAN UNIVERSITY IN DUBAI,United Arab Emirates,25.123,55.411164,600,600,S,FO,MD,2.0,B,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.531539355407772,2.218598856970029,blue
AMERICAN UNIVERSITY OF BEIRUT (AUB),Lebanon,33.8933080934,35.4760347625,228,268,M,FC,HI,5.0,B,28.6,383,84.9,73,60.2,212,13.3,401,98.6,71.0,69.6,190.0,43.3,2016,2.7978975092391027,-0.0051547316135346,blue
AMERICAN UNIVERSITY OF SHARJAH,United Arab Emirates,25.30583211,55.487664716,450,420,M,FC,MD,2.0,B,0.0,0,0.0,0,18.2,401,12.1,401,100.0,1.0,100.0,4.0,27.5,2016,0.35028922993433,3.753472642413904,blue
AMIRKABIR UNIVERSITY OF TECHNOLOGY,Iran,35.7026388561,51.4053983784,550,1000,L,FO,VH,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.775402503342915,0.1224713769477993,blue
ANKARA ÜNIVERSITESI,Turkey,39.936699,32.830299,701,701,XL,FC,HI,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.5906050965993344,0.0751428243862046,blue
AOYAMA GAKUIN UNIVERSITY,Japan,35.65666404,139.706330508,701,701,L,CO,MD,4.0,B,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.5906050965993344,0.0751428243862046,blue
ARABIAN GULF UNIVERSITY,Bahrain,26.201,50.606998,470,500,S,CO,MD,3.0,A,0.0,0,0.0,0,64.6,192,2.7,401,100.0,18.0,100.0,5.0,26.7,2016,0.616205155658216,2.750801553780228,blue
ARISTOTLE UNIVERSITY OF THESSALONIKI,Greece,40.629269,22.947412,500,470,XL,FC,VH,4.0,A,0.0,0,0.0,0,5.2,401,29.7,401,1.9,401.0,21.0,401.0,25.4,2016,-1.0435593156317735,0.215035262296406,blue
ARIZONA STATE UNIVERSITY,United States,33.424564,-111.928001,222,249,XL,CO,VH,5.0,A,51.8,181,31.0,396,9.5,401,70.3,120,30.4,396.0,58.3,241.0,44.2,2016,2.01320409205354,-0.6647240810065325,blue
ASTON UNIVERSITY,United Kingdom,52.487144,-1.886977,358,346,M,CO,VH,4.0,A,19.3,401,43.3,283,18.8,401,38.3,316,98.1,79.0,82.1,138.0,32.7,2016,1.682719519663006,1.2601462650445423,blue
ATENEO DE MANILA UNIVERSITY,Philippines,14.662315,121.052513,550,550,L,FC,LO,5.0,B,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.019074036309424,-1.030096712254295,blue
ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,Greece,37.989662708,23.725997096,701,701,M,FO,VH,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2016,-2.5906050965993344,0.0751428243862046,blue
