Current Rank,Last Rank,Age,Academic score,Employer score,Faculty Student score,CitationsPerFaculty score,InternationalFaculty score,InternationalStudent score,Overall Score,color
1,1,5,100,100,100,99.8,100,95.5,100.0,red
2,2,5,100,100,100,99,99.8,70.5,98.6,red
3,3,5,100,100,99.3,99.8,92.1,75.7,98.5,red
4,4,5,98.7,81.2,100,100,96.8,90.3,97.2,red
5,6,5,100,100,100,83,99.6,98.8,96.8,red
6,5,5,100,100,100,77.2,99.4,97.9,95.6,red
7,10,5,98.2,96.2,82.4,98.7,100,98.6,95.3,red
8,8,5,98.7,99.9,99.9,67.8,100,100,93.3,red
9,9,5,99.6,90.7,97.4,83.6,74.2,82.5,93.2,red
10,7,5,99.3,99.2,99.2,66.2,98.7,100,92.9,red
11,15,5,99.8,99.1,91.8,72.8,100,80.7,92.0,red
12,11,3,90.3,92.6,95,87.5,100,83.5,91.3,red
13,13,5,99.9,96.7,70.3,100,70.1,69.2,90.9,red
14,14,5,98.7,90.5,70.4,95.9,93.3,77,90.5,red
15,16,5,99.9,99.7,100,60.2,86.3,61.2,89.6,red
16,18,5,99.7,97.4,100,59.2,40.4,96.2,88.5,red
17,25,5,97,99.4,91.5,77.4,60.6,29.2,87.2,red
18,  23 ,5,97.3,94,85.5,57.2,97.4,98.8,86.9,red
19,19,5,95.4,92.6,100,59.7,72.1,65.2,86.5,red
20,  21 ,5,98.9,90.2,94.3,60.5,82.3,49.8,86.4,red
21,17,5,89.7,56.9,100,80.2,79.9,81.6,85.9,red
22,12,5,72.8,78.2,94.5,98.9,100,100,85.8,red
23,  28 ,5,100,99.5,94.2,72.2,12.3,25.5,85.3,red
24,20,4,97.1,82.6,47.9,87.8,100,99.5,84.4,red
25,26,5,96.7,83.7,88.1,47.1,100,99.4,84.3,red
26,  21 ,5,88.2,74.7,99.3,88.2,14.3,55,83.9,red
27,27,5,100,99.8,28.9,99.9,99.5,46.1,83.2,red
28,31,5,98.7,94,74.8,47.6,96.4,92.9,83.0,red
29,34,5,94.6,98.5,76,51.2,93.2,98.8,82.9,red
30,  38 ,5,99,99.8,64,69.4,68.2,53.8,82.6,red
31,  23 ,5,87.7,83.2,85.1,59.9,98.6,99.7,82.5,red
32,33,4,100,99.1,41.8,92.4,56.1,42,81.9,red
33,32,5,91.4,93.1,73,58.3,90.4,96.2,81.7,red
34,  28 ,5,85,73.1,99.8,68.4,72,54.8,81.5,red
35,  36 ,5,98.6,93.2,95.7,56.6,17.4,18.2,81.2,red
36,  36 ,4,96.2,92.7,87.7,66.5,22.1,14,80.6,red
37,30,3,83.6,73,61.8,89,100,87.9,80.5,red
38,35,5,84.2,99.9,47,84.6,100,100,80.2,red
39,  41 ,5,99,98.8,26.5,76.4,97.6,99.9,80.1,red
40,  41 ,3,83.2,78.3,79.5,98.5,26.4,9.8,78.7,red
41,  38 ,4,91.7,56.1,62.1,84.5,64.9,70.7,78.6,red
42,50,5,97.2,97,24.9,72.7,100,99.8,78.3,red
43,52,5,95.6,91.3,97.3,23.7,28.4,90.9,77.7,red
44,40,5,81.8,95.9,84.7,58.6,89.3,39.2,77.6,red
45,45,4,90.4,96.7,23.8,81.6,100,97.4,77.0,red
46,  47 ,5,78.5,79,45.7,95.4,78.3,100,76.6,red
47,51,5,96.7,88.1,37.6,60.7,92.2,77.7,75.8,red
48,  47 ,5,87.3,79.9,29.9,83.4,100,97.6,75.7,red
49,46,4,86.1,62.7,75.9,49.5,100,91.2,75.6,red
50,1000,1,80.3,99.3,99.9,26.6,67.7,84.2,75.1,red
51,44,5,75.6,89.4,75.9,63.8,84.4,66.4,74.9,red
52,54,5,69.3,83.9,48.5,90.2,98.6,86.7,73.3,red
53,55,5,88.5,51.2,87.4,52.6,58.8,30.6,73.2,red
54,57,4,73.8,96.1,62.4,56.1,98.4,99.3,72.9,red
55,49,3,55.6,39.2,90.9,88.7,100,97.3,72.1,red
56,53,5,62.5,52.7,81.2,89.8,88.1,58.3,72.0,red
57,58,5,79.2,51.8,58.5,81.6,80.1,40.3,71.1,red
58,56,5,74.6,80,90.4,59.8,31,27.1,71.0,red
  59 ,60,4,86.7,93.1,15.3,65.9,100,99,70.4,red
  59 ,62,5,77.8,96.1,39.4,85,77.4,15.6,70.4,red
61,64,5,78.1,98.3,88.8,23.9,59.5,63.9,70.0,red
62,66,5,90,84.4,51.8,47.1,60.2,38.8,69.4,red
63,67,5,93.8,78.1,14.7,94.1,7.3,20.4,68.7,red
64,68,5,78.4,55.4,91.4,36.8,53.6,52.4,68.0,red
65,59,5,46.8,99.7,99.9,47.3,95.4,95.8,67.9,red
66,61,5,85,46.5,21,99.5,58.6,38.4,67.8,red
67,63,4,79.4,70.5,81.3,52.2,23.9,15.5,67.7,red
68,87,5,65.6,85,60.9,69.2,86.9,45.1,67.5,red
  69 ,70,5,73.5,74.6,23.5,100,42.4,70.9,67.4,red
  69 ,65,5,70.4,59.6,60.7,57.2,94.3,96.7,67.4,red
71,69,5,89.1,53.6,15.9,90.7,20.7,70,67.0,red
72,  76 ,4,88.6,70.7,40.2,68.7,16.6,19.8,66.3,red
73,75,5,86.1,91.6,79.1,2.5,53.4,68.5,66.2,red
74,  78 ,5,57.1,94.1,38,82.5,95.5,87.5,65.7,red
  75 ,1000,1,88.4,46.6,59.4,39.7,41.4,54.6,64.8,red
  75 ,  82 ,5,61,64.1,64.5,58.8,88.9,94.2,64.8,red
77,  76 ,5,68.7,61.8,98.4,45.7,14.5,18.2,64.3,red
78,  73 ,5,55.6,70.8,99,31.8,100,59.2,63.6,red
  79 ,  84 ,5,63.6,84.9,53.6,48.5,91.5,88.2,63.5,red
  79 ,  73 ,5,67.2,47,99.9,28.8,91.6,28,63.5,red
81,  71 ,5,76.5,60.8,13.4,87.1,89.6,39.8,63.4,red
82,  84 ,5,61.3,79.5,60.4,47.5,93.5,83.8,63.1,red
  83 ,  71 ,3,38.7,49.2,99.8,99.6,46.6,5.4,63.0,red
  83 ,80,5,68.1,43.1,95.5,49.6,31.7,12.7,63.0,red
85,  82 ,5,82.7,59.4,21.3,52.3,87,91.3,62.8,red
86,  90 ,5,66.7,84.7,86.8,34.8,16.9,44.2,62.7,red
  87 ,89,5,38.7,18.5,85.6,96,89.6,85.3,62.6,red
  87 ,  114 ,5,63.9,57.7,93.5,32.6,55.9,61.2,62.6,red
89,86,5,64.8,55.6,81.7,41.3,81.8,41.2,62.4,red
90,  95 ,5,71.3,78.2,99.7,6.7,16.6,73.1,62.3,red
91,  93 ,5,60,58.6,24,88.4,100,94.7,62.2,red
92,  78 ,5,67.2,52.6,57.4,51.2,89.6,71.8,62.1,red
  93 ,81,5,62.4,66,70.8,51.9,28.6,87,62.0,red
  93 ,101,5,67.1,83.8,49.9,41.7,84.6,81.6,62.0,red
95,  93 ,5,77.7,70.4,26.8,77.8,14.1,40.3,61.9,red
96,  102 ,5,53.1,53.4,65.5,62.4,95.3,89.4,61.6,red
97,92,5,43.2,47.7,69,77,99,99.9,61.4,red
98,97,4,53.7,35.9,74.2,98.4,15.9,5.9,60.8,red
99,104,4,29.7,51.2,82.1,94.9,97.7,47.5,59.8,red
  100 ,105,5,65.7,60.7,35.2,58.3,97.5,69.2,59.5,red
  100 ,108,5,55,81.8,88.3,43.5,21.1,34,59.5,red
  100 ,118,5,71.4,40.4,33.8,73.5,56.7,49.5,59.5,red
  100 ,100,5,43.4,18.7,99.8,67.2,74.1,60.1,59.5,red
  104 ,  98 ,5,45.5,69.5,60.5,75.2,95.1,42.6,59.3,red
  104 ,88,5,58.8,55.6,39.9,63.1,98.7,91.2,59.3,red
106,  95 ,2,58,39.3,65.2,49.2,99.6,78.6,59.1,red
107,106,5,59.8,81.6,86.1,33.4,17.2,38,58.9,red
108,  98 ,5,48,27.8,56.9,75,100,98.6,58.4,red
109,  90 ,5,56.9,45.7,60.7,48.5,93.4,81.3,58.1,red
110,  102 ,5,61.7,46.9,74.8,51,56.7,8.2,57.9,red
111,  116 ,5,60.9,45.7,95.8,35.4,17.8,21,57.3,red
112,  116 ,5,27.8,30.4,99.9,69.6,99.3,79.4,57.1,red
113,  122 ,5,89.3,87.1,50.8,4,20.4,3.9,56.8,red
114,  109 ,5,56.8,46.7,31.1,65.2,97,99,56.6,red
115,132,5,57,51.4,40.4,66.9,45.5,87.1,56.2,red
116,107,4,46,92.4,38.3,71,61.6,63.3,55.9,red
117,112,5,63.3,37.1,47.3,58.9,62.2,45.3,55.8,red
118,121,4,87.2,80.4,28.2,30.7,9.6,4.3,55.5,red
119,127,5,50,42.4,48.2,57.5,97.2,99.5,55.4,red
120,113,5,47.7,30.3,62.7,53.6,93.6,99.4,55.2,red
121,120,5,86.9,57.8,13.6,33.9,60.7,36.9,55.1,red
  122 ,  109 ,5,65.1,29.1,33.6,65.4,78.5,43.3,55.0,red
  122 ,  114 ,5,58.5,41.2,26.2,87.8,75.3,16.3,55.0,red
124,  109 ,5,59.8,37.7,46.4,69.3,46.1,25.1,54.5,red
125,124,5,37.3,18.1,95.8,60.6,38.4,86.6,54.4,red
  126 ,128,5,54.8,56.6,89.8,32.4,17.7,21.5,54.1,red
  126 ,129,5,54.8,29.1,52.5,78,30.6,29,54.1,red
  128 ,133,5,28.8,67.3,69.4,69,94,56.1,53.6,red
  128 ,  122 ,5,55.5,54.6,87.2,33.3,19.5,14.6,53.6,red
130,  125 ,4,78.4,49.1,6.8,49.6,64,50.5,53.4,red
131,  135 ,4,38.8,32.8,51.6,70.4,95.4,98.1,53.0,red
  132 ,  137 ,5,83,93.4,32.6,12.1,20,5.1,52.9,red
  132 ,134,5,64.6,16.7,13,95.5,50.6,20.8,52.9,red
134,  135 ,4,42.9,44.2,57.9,55.6,92,68.2,52.4,red
135,  142 ,5,49.2,26.1,69.9,47.8,82.6,36.5,51.9,red
136,  142 ,5,44.5,20.5,98.7,47.5,29.5,22.6,51.8,red
137,177,1,17.4,100,87.7,43.1,74.3,90.6,51.5,red
138,  125 ,5,48.9,33,83.2,37.3,62.8,20.3,51.3,red
139,167,5,28.8,34.6,54.7,88.1,100,48.3,51.1,red
140,  137 ,1,36.4,48.2,56.6,68.6,85.4,39.4,50.8,red
  141 ,119,4,49.6,48.6,51.5,50.7,85,23.7,50.7,red
  141 ,  149 ,5,61.4,54.8,19.3,56.3,65,42.7,50.7,red
  141 ,  161 ,4,38.8,62.2,62.2,39.1,93,79.1,50.7,red
144,141,5,56.4,97.7,21.8,42.1,39.2,64.9,50.4,red
145,  137 ,5,47.5,44.7,56.3,39.3,72,79.8,50.3,red
146,140,5,39.5,44.1,81,32.9,97.8,42,50.1,red
147,144,5,52.3,80.2,45.6,34.8,35.2,60.3,49.9,blue
148,  147 ,5,27.2,12.3,99.6,62,52.7,47.4,49.6,blue
  149 ,130,5,52.9,54.6,41.6,31.1,95.8,68,49.5,blue
  149 ,146,5,33.4,20.9,82.3,44.2,99.5,72.7,49.5,blue
  151 ,155,4,43.5,67.8,78.6,30.6,27.6,37.3,49.4,blue
  151 ,  173 ,5,40,37.6,72.3,31.3,81.1,94.6,49.4,blue
153,157,5,37.5,11.7,99.3,40.8,71,26.3,49.2,blue
  154 ,145,5,40.1,31.9,81.8,46.8,67.1,13.8,49.1,blue
  154 ,  158 ,4,36.5,65.1,36.4,58.8,92.9,83.3,49.1,blue
  156 ,170,5,57.1,85.9,7.5,55.8,45.8,44.3,48.7,blue
  156 ,163,5,66.9,25.6,27.3,61.8,8.1,21.5,48.7,blue
158,160,4,35.5,71.6,28.3,59.9,97.4,91.2,48.6,blue
159,187,4,63.2,69,47.8,23.7,11.6,25.7,48.5,blue
  160 ,  149 ,5,29.9,23.4,31.6,92,100,84.7,48.4,blue
  160 ,176,3,41.3,83.5,11.7,57,98.8,94.4,48.4,blue
162,  179 ,4,52.5,72.9,43.3,54.1,4.4,1.8,48.2,blue
  163 ,  161 ,4,44.5,47,25.9,88.2,32.5,17.9,48.0,blue
  163 ,152,4,38,70.7,9.2,77.9,79.6,83.9,48.0,blue
165,153,5,48.6,45.6,15.6,67.6,90.8,52.3,47.9,blue
166,156,5,69.9,48.9,34,30.1,6.4,32.7,47.8,blue
167,  192 ,3,14.9,9,94.4,97.1,2.1,46.1,47.7,blue
168,  164 ,5,45.1,28.4,90.5,18,61.5,35.9,47.6,blue
169,  164 ,4,46.1,21.6,13.7,86,52.4,84.6,47.5,blue
170,190,5,35,16.3,55.8,100,1.6,2,47.1,blue
171,  164 ,4,30.8,11,81,59.8,88.1,14.5,46.8,blue
  172 ,172,4,46.8,65.5,21,84,3.1,1.6,46.6,blue
  172 ,  158 ,5,28.6,33.1,48.3,62,97.7,96.5,46.6,blue
  172 ,  179 ,4,21.5,24.9,44.5,90.2,92.4,77.1,46.6,blue
  175 ,  192 ,4,19,7.2,99.6,81.6,11.9,23.3,46.4,blue
  175 ,154,5,60.8,35.7,26.6,17.4,98.4,93.4,46.4,blue
  175 ,151,5,48.6,40.1,21.7,50.9,100,65.6,46.4,blue
178,199,4,33.2,82.3,88.4,3.9,99.6,22.2,46.2,blue
179,  147 ,5,34.1,45.4,43.1,59.3,74.1,71.6,46.1,blue
  180 ,202,5,27.3,37.6,44.3,62.3,99.5,96.9,45.9,blue
  180 ,  188 ,5,72.1,49.6,7.3,46.2,10.5,14.6,45.9,blue
  180 ,178,5,48.2,35.7,71.5,33.1,21.6,17.8,45.9,blue
183,169,5,21.9,34.5,79.5,77,5,37.4,45.8,blue
  184 ,  230 ,3,47.4,33.6,80.9,13.7,44.1,38.4,45.5,blue
  184 ,186,5,24.4,9.3,100,36,60.7,89.3,45.5,blue
  186 ,213,5,20.6,11.3,97.4,53.5,43.2,72.2,45.4,blue
  186 ,171,5,50.1,27,33.9,52.5,59.3,45.9,45.4,blue
188,  182 ,5,24.2,29.4,95.6,29.2,84.1,65.4,45.2,blue
189,  173 ,4,24.4,29.7,93.9,33.6,100,35.9,45.1,blue
190,  182 ,5,37.5,30,69.4,51.5,38.4,15.7,45.0,blue
191,  195 ,5,33.4,72.5,82.4,20.7,35.5,36.4,44.9,blue
192,  173 ,5,38.6,40.1,65.2,49.5,29.5,17,44.8,blue
  193 ,  195 ,4,63,35.9,21,44.1,26.4,28.3,44.7,blue
  193 ,168,5,42.4,49,27.1,46.2,96.2,65.1,44.7,blue
  195 ,  188 ,5,33.6,41.6,38.3,49.1,93.5,91.2,44.4,blue
  195 ,212,5,29.1,20,100,37.6,25.7,36,44.4,blue
197,181,5,50.1,19.7,68.5,23.8,47,27.5,44.3,blue
198,  192 ,5,51.1,77,63.5,9.7,13.4,11.1,44.1,blue
199,  182 ,5,30.3,61.9,6.7,79.6,74.1,91.4,44.0,blue
  200 ,  195 ,5,51.8,20.3,29.5,51.6,78.7,17.5,43.9,blue
  200 ,191,5,45.6,47.7,31,43.8,72.1,44.8,43.9,blue
202,229,3,41,33.2,67.3,19.7,55.9,74.4,43.8,blue
203,  195 ,5,59.1,48,14.1,51.8,20.3,14.5,43.5,blue
  204 ,204,4,29.4,13.4,50.2,79.5,55.3,28.4,43.3,blue
  204 ,  182 ,4,65.6,45.2,27,31,11.1,5.1,43.3,blue
206,233,5,65.6,73,24.8,14.9,3.4,29.5,43.2,blue
207,  264 ,3,45.9,40.9,64.3,19.6,36,37.5,43.0,blue
  208 ,  207 ,5,26.7,37.1,52.3,68,38.5,43,42.6,blue
  208 ,201,5,68.8,84.1,14.4,13.6,11.4,8.3,42.6,blue
  208 ,203,5,56.1,86,33.1,8.2,30.2,34.5,42.6,blue
211,200,3,21.8,22.7,28.8,78.9,97.5,100,42.5,blue
  212 ,209,5,41.6,27,12.2,70.6,64.5,61.6,42.3,blue
  212 ,216,5,30.3,30.8,58.6,55.6,61.9,20.8,42.3,blue
  214 ,  207 ,5,46.4,28.9,48.2,38.8,22.7,37.7,42.0,blue
  214 ,  224 ,4,31.2,26.2,34.6,54,99.8,82.3,42.0,blue
  214 ,  210 ,5,29.7,63.5,10.1,70.1,99.6,51.9,42.0,blue
217,215,5,69.9,36.1,5.6,41.2,5.2,9.5,41.8,blue
  218 ,234,4,28.8,63.4,33,44.5,81.7,76.1,41.4,blue
  218 ,232,3,28.3,37.2,22.3,63.2,95.9,86.9,41.4,blue
220,  236 ,4,33.4,48.9,99.3,1.2,34.4,23,41.3,blue
  221 ,220,5,25,42.5,90,4.3,56.3,99,41.0,blue
  221 ,219,5,43.6,30.2,14.8,47.6,99.4,59.5,41.0,blue
  223 ,223,4,44.8,22.9,60.5,27,36.3,25.2,40.9,blue
  223 ,  210 ,3,22.6,22.7,94.8,25.5,65.4,42.7,40.9,blue
  223 ,238,4,23.6,22.8,49.9,50.7,88,91.2,40.9,blue
226,227,5,35.1,38.7,69.7,27.3,21.5,46.4,40.8,blue
227,228,4,29,12.6,29.7,60.4,96.9,98,40.7,blue
228,253,3,30.1,35.6,85.3,17.1,27.8,58.8,40.5,blue
229,217,4,33.4,39.6,35.6,42.2,85.7,61.6,40.4,blue
230,  205 ,4,34.3,33.5,9.3,95.9,35.3,6.7,40.3,blue
  231 ,  267 ,4,24.9,25.1,71.3,25.3,99.1,63.9,40.0,blue
  231 ,214,5,35.6,35.5,16.4,52.7,99.5,66.9,40.0,blue
  231 ,218,5,38.6,22.3,44.1,52.7,41.9,14.9,40.0,blue
234,222,4,37.8,39.3,44.2,45.2,17,29.4,39.4,blue
235,  240 ,5,35.3,31.3,95.2,4.8,6,31.8,39.2,blue
236,  259 ,5,19.3,16.1,29.2,69.9,98.1,97.9,39.1,blue
  237 ,235,5,21.1,59.6,67.3,14.3,96.2,67.8,39.0,blue
  237 ,  243 ,5,19.8,14.2,79.7,48.4,37.6,41.4,39.0,blue
  239 ,  224 ,5,33.7,65,10.4,58.5,76.2,23.7,38.9,blue
  239 ,  205 ,5,31.3,61.1,14.4,43,81.6,91.7,38.9,blue
  239 ,242,5,29,16.5,81.9,23.4,45.6,43.8,38.9,blue
  242 ,  270 ,4,33,81.7,45,21.5,20.9,60.1,38.8,blue
  242 ,252,4,21.1,16.9,76.6,54.1,7.9,41.2,38.8,blue
  244 ,  250 ,4,28.6,34.7,90.5,13.7,6,51.2,38.7,blue
  244 ,  247 ,3,39.9,52.7,12.3,39.3,98.5,42.3,38.7,blue
246,  230 ,5,40.1,22.5,20,72.2,14.7,18.2,38.5,blue
247,  224 ,5,31.5,31.6,24.4,70.6,61.5,9.9,38.4,blue
248,  264 ,4,23.7,29.4,28.8,52,95.9,97.2,38.3,blue
249,  296 ,5,52.2,35.9,14,50,9.5,6.4,38.2,blue
  250 ,262,3,30,44.1,24.7,42.8,100,59.2,38.0,blue
  250 ,  240 ,4,30.2,42.6,19.6,41.7,94.7,91.5,38.0,blue
  250 ,  247 ,3,33.9,65.2,14.1,27.4,100,89.8,38.0,blue
  253 ,  272 ,5,20.5,79.1,7.5,73.6,50.4,59.5,37.9,blue
  253 ,281,3,34.4,59.4,68,9.2,38.7,14.9,37.9,blue
255,239,5,46.6,22.2,45,24,30.5,27.6,37.7,blue
256,221,4,25.1,27.6,81.5,15.2,96.2,11.8,37.6,blue
  257 ,  264 ,3,23.4,23.5,76.3,39.8,17.2,31.7,37.5,blue
  257 ,282,5,37.4,54.5,25.5,42.1,56.2,12.5,37.5,blue
259,249,5,44.8,16.1,19.2,59.8,21,15.7,37.3,blue
  260 ,  243 ,5,20.5,26.2,76.2,17.3,90.8,59.1,37.1,blue
  260 ,  259 ,5,26.7,59.9,14.3,62.6,36.7,62.8,37.1,blue
